"Date","SMI","SPI","NASDAQ-100","S&P 500","DAX","EURO STOXX 50","FTSE 100","FTSE 250","Nikkei 225","TOPIX"
"12/31/2012","6822.44","6290.52","2660.93","1426.188","7612.39","2635.93","5897.81","12374.97","10395.18","859.8"
"1/31/2013","7390.86","6789.4","2731.53","1498.1109","7776.05","2702.98","6276.88","13030.49","11138.66","940.25"
"2/28/2013","7593.67","7024.53","2738.58","1514.6783","7741.7","2633.55","6360.81","13704.02","11559.36","975.66"
"3/31/2013","7813.67","7243.46","2818.69","1569.1859","7795.31","2624.02","6411.74","13923.04","12397.91","1034.71"
"4/30/2013","7906.21","7424.88","2887.44","1597.5657","7913.71","2712","6430.12","13949.87","13860.86","1165.13"
"5/31/2013","7947.01","7495.05","2981.76","1630.7419","8348.84","2769.64","6583.09","14350.92","13774.54","1135.78"
"6/30/2013","7683.04","7247.62","2909.6","1606.2776","7959.22","2602.59","6215.47","13798.22","13677.32","1133.84"
"7/31/2013","7820.43","7398.59","3090.19","1685.725","8275.97","2768.15","6621.06","14872.86","13668.32","1131.7"
"8/31/2013","7745.97","7353.92","3073.813","1632.9712","8103.15","2721.37","6412.93","14625.18","13388.86","1106.05"
"9/30/2013","8022.6","7611.23","3218.198","1681.5467","8594.4","2893.15","6462.22","14908.18","14455.8","1194.1"
"10/31/2013","8234.29","7829.04","3377.731","1756.5446","9033.92","3067.95","6731.43","15479.95","14327.94","1194.26"
"11/30/2013","8264.2","7867.29","3487.82","1805.8127","9405.3","3086.64","6650.57","15466.56","15661.87","1258.66"
"12/31/2013","8202.98","7838","3591.996","1848.3565","9552.16","3109","6749.09","15935.35","16291.31","1302.29"
"1/31/2014","8191.33","7830.51","3521.922","1782.587","9306.48","3013.96","6510.44","15674.37","14914.53","1220.64"
"2/28/2014","8475.33","8160.44","3696.098","1859.4494","9692.08","3149.23","6809.7","16726","14841.07","1211.66"
"3/31/2014","8453.82","8202.18","3595.736","1872.3352","9555.91","3161.6","6598.37","16273.72","14827.83","1202.89"
"4/30/2014","8476.66","8333.7","3582.02","1883.9501","9603.23","3198.39","6780.03","15817.2","14304.11","1162.44"
"5/31/2014","8674.52","8557.99","3736.821","1923.5727","9943.27","3244.6","6844.51","16010.25","14632.38","1201.41"
"6/30/2014","8554.52","8455.66","3849.479","1960.2312","9833.07","3228.24","6743.94","15723.56","15162.1","1262.56"
"7/31/2014","8410.27","8329.69","3892.496","1930.6739","9407.48","3115.51","6730.11","15495.64","15620.77","1289.42"
"8/31/2014","8658.97","8566.25","4082.559","2003.3677","9470.17","3172.63","6819.75","15885.72","15424.59","1277.97"
"9/30/2014","8835.14","8695.61","4049.445","1972.2851","9474.3","3225.93","6622.72","15379.72","16173.52","1326.29"
"10/31/2014","8837.78","8691.83","4158.21","2018.0545","9326.87","3113.32","6546.47","15501.37","16413.76","1333.64"
"11/30/2014","9150.46","8992.9","4337.785","2067.562","9980.85","3250.93","6722.62","15851.76","17459.85","1410.34"
"12/31/2014","8983.37","8857.03","4236.279","2058.9024","9805.55","3146.43","6566.09","16085.44","17450.77","1407.51"
"1/31/2015","8385.13","8262.63","4148.43","1994.9904","10694.32","3351.44","6749.4","16305.77","17674.39","1415.07"
"2/28/2015","9014.53","8921.78","4440.672","2104.5032","11401.66","3599","6946.66","17273.82","18797.94","1523.85"
"3/31/2015","9128.98","9137.24","4333.688","2067.8872","11966.17","3697.38","6773.04","17090.64","19206.99","1543.11"
"4/30/2015","9077.12","9208.19","4414.252","2085.5137","11454.38","3615.59","6960.63","17474.63","19520.01","1592.79"
"5/31/2015","9237.79","9377.54","4508.253","2107.3896","11413.82","3570.78","6984.43","18154.42","20563.15","1673.65"
"6/30/2015","8780.91","8918.62","4396.761","2063.1118","10944.97","3424.3","6520.98","17531.5","20235.73","1630.4"
"7/31/2015","9428.17","9559.21","4588.907","2103.8354","11308.99","3600.69","6696.28","17677.4","20585.24","1659.52"
"8/31/2015","8824.56","8984.61","4274.584","1972.1847","10259.46","3269.63","6247.94","17106.36","18890.48","1537.05"
"9/30/2015","8513.41","8679.82","4181.06","1920.0266","9660.44","3100.67","6061.61","16683.02","17388.15","1411.16"
"10/31/2015","8938.65","9133.48","4648.831","2079.3598","10850.14","3418.23","6361.09","17117.21","19083.1","1558.2"
"11/30/2015","8993.1","9232.94","4664.51","2080.4068","11382.23","3506.45","6356.09","17420.7","19747.47","1580.25"
"12/31/2015","8818.09","9093.97","4593.27","2043.9369","10743.01","3267.52","6242.32","17429.82","19033.71","1547.3"
"1/31/2016","8319.81","8610.7","4279.169","1940.2397","9798.11","3045.09","6083.79","16487.72","17518.3","1432.07"
"2/29/2016","7843.63","8249.38","4201.118","1932.2264","9495.4","2945.75","6097.09","16603.08","16026.76","1297.85"
"3/31/2016","7807.89","8316.61","4483.655","2059.7412","9965.51","3004.93","6174.9","16926.12","16758.67","1347.2"
"4/30/2016","7960.85","8566.82","4341.299","2065.2963","10038.97","3028.21","6241.89","16801.55","16666.05","1340.55"
"5/31/2016","8216.42","8887.41","4523.893","2096.9642","10262.74","3063.48","6230.79","17184.73","17234.98","1379.8"
"6/30/2016","8020.15","8660.22","4417.699","2098.8552","9680.09","2864.74","6504.33","16271.07","15575.92","1245.82"
"7/31/2016","8127.2","8828.2","4730.231","2173.6039","10337.5","2990.76","6724.43","17282.88","16569.27","1322.74"
"8/31/2016","8202.13","8915.79","4771.055","2170.947","10592.69","3023.13","6781.51","17732.77","16887.4","1329.54"
"9/30/2016","8139.01","8883.25","4875.697","2168.2721","10511.02","3002.24","6899.33","17871.42","16449.84","1322.78"
"10/31/2016","7827.74","8578.7","4801.271","2126.1533","10665.01","3055.25","6954.22","17544.24","17425.02","1393.02"
"11/30/2016","7875.19","8623.48","4810.814","2198.8104","10640.3","3051.61","6783.79","17545.75","18308.48","1469.43"
"12/31/2016","8219.87","8965.7","4863.62","2238.8267","11481.06","3290.52","7142.83","18077.27","19114.37","1518.61"
"1/31/2017","8291.69","9063.32","5116.768","2278.8669","11535.31","3230.68","7099.15","18147.77","19041.34","1521.67"
"2/28/2017","8545.81","9367.08","5330.305","2363.6382","11834.41","3319.61","7263.44","18770.71","19118.99","1535.32"
"3/31/2017","8658.89","9637.82","5436.232","2362.7182","12312.87","3500.93","7322.92","18971.83","18909.26","1512.6"
"4/30/2017","8812.67","9976.11","5583.53","2384.1955","12438.01","3559.59","7203.94","19615.36","19196.74","1531.8"
"5/31/2017","9016.64","10248.87","5788.802","2411.7973","12615.06","3554.59","7519.95","19972.17","19650.57","1568.37"
"6/30/2017","8906.89","10128.34","5646.918","2423.4089","12325.12","3441.88","7312.72","19340.15","20033.43","1611.9"
"7/31/2017","9055","10310.53","5880.327","2470.3","12118.25","3449.36","7372","19781.14","19925.18","1618.61"
"8/31/2017","8925.45","10177.22","5988.604","2471.6502","12055.84","3421.47","7430.62","19803.59","19646.24","1617.41"
"9/30/2017","9157.46","10447.33","5979.298","2519.3597","12828.86","3594.85","7372.76","19874.82","20356.28","1674.75"
"10/31/2017","9242.18","10604.4","6248.557","2575.2638","13229.57","3673.95","7493.08","20227.86","22011.61","1765.96"
"11/30/2017","9318.77","10674.94","6365.564","2647.5799","13023.98","3569.93","7326.67","19952.89","22724.96","1792.08"
"12/31/2017","9381.87","10751.51","6396.422","2673.6105","12917.64","3503.96","7687.77","20726.26","22764.94","1817.56"
"1/31/2018","9335.4","10737.45","6949.987","2823.8099","13189.48","3609.29","7533.55","20243.6","23098.29","1836.71"
"2/28/2018","8906.38","10258.63","6854.417","2713.8305","12435.85","3438.96","7231.91","19687.27","22068.24","1768.24"
"3/31/2018","8740.97","10189.89","6581.126","2640.866","12096.73","3361.5","7056.61","19460.47","21454.3","1716.3"
"4/30/2018","8886.26","10524.92","6605.57","2648.0494","12612.11","3536.52","7509.3","20285.05","22467.87","1777.23"
"5/31/2018","8456.95","10164.78","6967.729","2705.2748","12604.89","3406.65","7678.2","20846.26","22201.82","1747.45"
"6/30/2018","8609.3","10327.29","7040.802","2718.3735","12306","3395.6","7636.93","20830.97","22304.51","1730.89"
"7/31/2018","9174.33","10898.11","7231.983","2816.2886","12805.5","3525.49","7748.76","20877.87","22553.72","1753.29"
"8/31/2018","8973.56","10740.34","7654.554","2901.5177","12364.06","3392.9","7432.42","20689","22865.15","1735.35"
"9/30/2018","9087.99","10807.82","7627.65","2913.9781","12246.73","3399.2","7510.2","20307.04","24120.04","1817.25"
"10/31/2018","9022.16","10635.53","6967.096","2711.7444","11447.51","3197.51","7128.1","18917.68","21920.46","1646.12"
"11/30/2018","9037.76","10540.95","6949.014","2760.1743","11257.24","3173.13","6980.24","18480.83","22351.06","1667.45"
"12/31/2018","8429.3","9830.06","6329.965","2506.8472","10558.96","3001.42","6728.13","17502.05","20014.77","1494.09"
"1/31/2019","8969.27","10514.35","6906.839","2704.1006","11173.1","3159.43","6968.85","18711.75","20773.49","1567.49"
"2/28/2019","9388.94","10964.46","7097.525","2784.4914","11515.64","3298.26","7074.73","19181.35","21385.16","1607.66"
"3/31/2019","9477.84","11241.19","7378.771","2834.3998","11526.04","3351.71","7279.19","19117.49","21205.81","1591.64"
"4/30/2019","9769.74","11735.16","7781.456","2945.8309","12344.08","3514.62","7418.22","19824.81","22258.73","1617.93"
"5/31/2019","9523.98","11544.54","7127.956","2752.0629","11726.84","3280.43","7161.71","18970.25","20601.19","1512.28"
"6/30/2019","9898.24","11977.38","7671.075","2941.7606","12398.8","3473.69","7425.63","19462.1","21275.92","1551.14"
"7/31/2019","9919.27","12064.45","7848.78","2980.3789","12189.04","3466.85","7586.78","19666.52","21521.53","1565.14"
"8/31/2019","9895.65","12060.92","7690.998","2926.4581","11939.28","3426.76","7207.18","19393.63","20704.37","1511.86"
"9/30/2019","10078.32","12233.13","7749.449","2976.7373","12428.08","3569.45","7408.21","19936.67","21755.84","1587.8"
"10/31/2019","10219.82","12337.05","8083.832","3037.5644","12866.79","3604.41","7248.38","20021.5","22927.04","1667.01"
"11/30/2019","10493.24","12676.11","8403.685","3140.9806","13236.38","3703.58","7346.53","20812.6","23293.91","1699.36"
"12/31/2019","10616.94","12837.5","8733.073","3230.782","13249.01","3745.15","7542.44","21883.42","23656.62","1721.36"
"1/31/2020","10627.88","12870.99","8991.512","3225.5163","12981.97","3640.91","7286.01","21143.49","23205.18","1684.44"
"2/29/2020","9831.03","11897.75","8461.834","2954.2237","11890.35","3329.49","6580.61","19330.92","21142.96","1510.87"
"3/31/2020","9311.92","11319.54","7813.499","2584.5908","9935.84","2786.9","5671.96","15101.13","18917.01","1403.04"
"4/30/2020","9629.4","11905.85","9000.509","2912.4305","10861.64","2927.93","5901.21","16454.46","20193.69","1464.03"
