"Date","CH_Trade_Balance","CH_Unemployment","CH_CPI","CH_Retail_Sales","CH_Policy_Rate","CH_Consumer_Confidence","US_Trade_Balance","US_Unemployment","US_CPI","US_Retail_Sales","US_Policy_Rate","US_Consumer_Confidence","DE_Trade_Balance","DE_Unemployment","DE_CPI","DE_Retail_Sales","DE_Policy_Rate","DE_Consumer_Confidence","GB_Trade_Balance","GB_Unemployment","GB_CPI","GB_Retail_Sales","GB_Policy_Rate","GB_Consumer_Confidence","JP_Trade_Balance","JP_Unemployment","JP_CPI","JP_Retail_Sales","JP_Policy_Rate","JP_Consumer_Confidence"
"12/31/2012","878000000.00","3.30","-0.20","4.40","0.25","0.23","-36330000000.00","7.90","0.00","2.58","0.12","66.70","17100000000.00","6.90","0.90","-3.10","0.75","-26.60","-9564000000.00","7.80","0.50","1.00","0.50","-29.00","-645700000000.00","4.30","0.00","0.20","0.10","39.90"
"1/31/2013","2008000000.00","3.40","-0.30","1.70","0.25","0.22","-40140000000.00","8.00","0.20","1.78","0.12","58.40","16600000000.00","6.90","-0.50","2.20","0.75","-23.90","-9307000000.00","7.80","-0.50","-0.60","0.50","-26.00","-1633100000000.00","4.20","0.10","-1.10","0.10","43.20"
"2/28/2013","1931000000.00","3.40","0.30","2.40","0.25","0.21","-41000000000.00","7.70","0.50","2.56","0.12","68.00","18000000000.00","6.90","0.50","-3.40","0.75","-23.60","-9615000000.00","8.00","0.70","1.70","0.50","-26.00","-773300000000.00","4.30","-0.20","-2.20","0.10","44.20"
"3/31/2013","1749000000.00","3.20","0.20","-0.40","0.25","0.21","-34310000000.00","7.50","-0.30","2.89","0.12","61.90","18100000000.00","6.90","0.50","-2.90","0.75","-23.50","-8959000000.00","7.80","0.30","-1.90","0.50","-26.00","-356900000000.00","4.10","0.20","-0.30","0.10","44.80"
"4/30/2013","1551000000.00","3.10","0.00","2.70","0.25","0.20","-38490000000.00","7.60","-0.20","2.28","0.12","69.00","16600000000.00","7.00","-0.50","2.60","0.75","-22.30","-10123000000.00","7.80","0.20","-0.60","0.50","-27.00","-877400000000.00","4.10","0.30","-0.20","0.10","44.80"
"5/31/2013","2205000000.00","3.00","0.10","1.60","0.25","0.19","-41700000000.00","7.50","0.00","2.65","0.12","74.30","14300000000.00","6.90","0.40","0.20","0.50","-21.90","-11047000000.00","7.80","0.20","1.90","0.50","-22.00","-991300000000.00","4.10","0.10","0.80","0.10","45.20"
"6/30/2013","2641000000.00","2.90","0.10","1.90","0.25","0.20","-34430000000.00","7.50","0.20","2.85","0.12","82.10","15700000000.00","6.80","0.10","-2.80","0.50","-18.80","-10795000000.00","7.70","-0.20","0.70","0.50","-21.00","-180500000000.00","3.90","0.00","1.60","0.10","43.70"
"7/31/2013","2523000000.00","3.00","-0.40","0.70","0.25","0.19","-36360000000.00","7.30","0.20","3.27","0.12","81.00","14300000000.00","6.80","0.50","3.30","0.50","-17.40","-10512000000.00","7.70","0.00","0.10","0.50","-16.00","-1032500000000.00","3.80","0.20","-0.30","0.10","43.50"
"8/31/2013","1918000000.00","3.00","-0.10","2.60","0.25","0.19","-36620000000.00","7.20","0.20","3.88","0.12","81.80","15800000000.00","6.80","0.00","0.30","0.50","-15.60","-9128000000.00","7.70","0.40","-0.40","0.50","-13.00","-971400000000.00","4.10","0.30","1.10","0.10","42.80"
"9/30/2013","2250000000.00","3.00","0.30","1.00","0.25","0.19","-39920000000.00","7.20","0.00","3.82","0.12","80.20","18500000000.00","6.80","0.00","0.20","0.50","-14.90","-11394000000.00","7.60","0.40","1.10","0.50","-10.00","-943200000000.00","3.90","0.30","3.00","0.10","45.50"
